title,description
Frequency,"Detective Raimy Sullivan has carried around pain and resentment over her father's death for 20 years, believing NYPD Officer Frank Sullivan was corrupted during an undercover sting and got himself killed. Everything changes when she hears his voice coming from his old ham radio, somehow transmitting from 1996. Raimy tells Frank about his murder, allowing him to survive the event, but the change has tragic consequences on the present, and the two detectives must find a way to rewrite the past without destroying everyone they care about."
Barbarian,The wilderness-raised heir to valuable mining rights falls in love with the daughter of the man who's trying to swindle him.
The Wonders,A complex relationship develops between a Jerusalem graffiti artist and a mysterious prophet imprisoned in an apartment across from the artist's window.
He Named Me Malala,"After the Taliban tries to kill her for speaking out on behalf of girls' education, Pakistani teenager Malala Yousafzai emerges as a leading advocate for children's rights and the youngest-ever Nobel Peace Prize Laureate."
Devs,"""Devs"" is an FX limited series that focuses on a young software engineer named Lily Chan who works for Amaya, a cutting-edge tech company based in Silicon Valley. After her boyfriend Sergei's apparent suicide, Lily suspects foul play and begins to investigate. She quickly realizes that all roads lead to Forest, Amaya's enigmatic CEO, and Devs, the company's secret development division. In Lily's quest to discover the truth, she uncovers a technology-based conspiracy that could change the world."
Dynasties,"""Dynasties"" is a documentary by Sir David Attenborough as he goes on a journey behind some of the most celebrated and endangered animals on the planet. Follow the stories of penguins, chimpanzees, lions, painted wolves, and tigers. Each of these animals is locked in a heroic struggle against the forces of nature and their rivals -- they face harsh environmental conditions, dangerous predators, and even the greatest threat: humans. They actively seek to fight for their survival and the survival of their families -- their dynasties."
Catching Killers,Investigators reveal the harrowing details of their efforts to catch serial killers.
The Hunting Ground,Many college students who have been raped on campus face retaliation and harassment as they fight for justice.
Whip It,"Bliss Cavendar lives in small-town Texas and yearns to break free of her mother's world of beauty pageants and conformity. She sees her chance when she meets the Hurl Scouts, a roller-derby team; she tries out for the team and wins a slot, lying to her parents about her new hobby. Bliss finds friendship and freedom with her teammates, but a conflict between a championship game and the Bluebonnet beauty pageant threatens to spill her secret."
The Family Man,Srikant Tiwari is a middle-class man who also serves as a world-class spy; he tries to balance his familial responsibilities with those at the highly secretive special cell of the National Intelligence Agency.
Betrayed,"""Betrayed"" reveals chilling stories of chasing the American dream and how the veneer can dramatically crumble, ending in murder at the hands of a trusted family member, co-worker, lover, or friend. The cases of deception are told through the lens of the fictionalized, first-person perspectives of the victims. As investigators, family, and friends peel back the layers and facts of each case, the otherworldly narrator already knows where the trail ends. The narrator guides viewers through various relationships, raising suspicions about who will commit the ultimate betrayal."
Workin' Moms,"Warm, loyal PR executive Kate and her longtime friend, no-nonsense psychiatrist Anne, attend a judgmental mommies' group, where they meet timid IT tech Jenny and blindly optimistic real estate agent Frankie. The four quickly form an unlikely friendship, sharing struggles of urban motherhood filled with the chaos of toddlers, tantrums, careers, and identity crises, all while trying to achieve the holy grail: a sense of self. The ensemble comedy is largely drawn from the personal experiences of star/co-creator Catherine Reitman (""Blackish,"" ""It's Always Sunny in Philadelphia"")."
Minions: The Rise of Gru,"In the heart of the 1970s, amid a flurry of feathered hair and flared jeans, Gru (Oscar® nominee Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them. Luckily, he gets some mayhem-making backup from his loyal followers, the Minions. Together, Kevin, Stuart, Bob, and Otto--a new Minion sporting braces and a desperate need to please--deploy their skills as they and Gru build their first lair, experiment with their first weapons and pull off their first missions. When the Vicious 6 oust their leader, legendary fighter Wild Knuckles (Oscar® winner Alan Arkin), Gru interviews to become their newest member. It doesn't go well (to say the least), and only gets worse after Gru outsmarts them and suddenly finds himself the mortal enemy of the apex of evil. On the run, Gru will turn to an unlikely source for guidance, Wild Knuckles himself, and discover that even bad guys need a little help from their friends."
99 Homes,A desperate construction worker (Andrew Garfield) reluctantly accepts a job with the ruthless real-estate broker (Michael Shannon) who evicted him and his family from their home.
Oxygen,"When housewife Frances Hannon (Laila Robins) is abducted and buried alive, detective Madeline Foster (Maura Tierney) is brought in. With only 24 hours before Frances' oxygen runs out, Madeline pursues the trail laid by a killer calling himself Harry Houdini (Adrien Brody). After capturing him, Madeline brings Harry back to the police station, but is unable to get him to confess where Frances is buried. As time runs down, Harry gets inside the head of unstable, alcoholic Madeline."
